# Generated by MIB Walker
# Version 10.10.201
# 28/12/2017 04:49:49 p.m.
#
# MIB Walk of 10.12.13.2
MIB	OID	Name	Type	Value
MIB2-DAN-MIB-ADMIN	1.3.6.1.2.1.1.1.0	sysDescr.0	DisplayString	OLT1-8PON-TUCUMAN
MIB2-DAN-MIB-ADMIN	1.3.6.1.2.1.1.2.0	sysObjectID.0	OBJECT-IDENTIFIER	1.3.6.1.4.1.34592
MIB2-DAN-MIB-ADMIN	1.3.6.1.2.1.1.3.0	sysUpTime.0	TimeTicks	242470470
MIB2-DAN-MIB-ADMIN	1.3.6.1.2.1.1.4.0	sysContact.0	DisplayString	
MIB2-DAN-MIB-ADMIN	1.3.6.1.2.1.1.5.0	sysName.0	DisplayString	epon
MIB2-DAN-MIB-ADMIN	1.3.6.1.2.1.1.6.0	sysLocation.0	DisplayString	TUCUMAN
MIB2-DAN-MIB-ADMIN	1.3.6.1.2.1.1.7.0	sysServices.0	INTEGER	2
SNMPv2-MIB	1.3.6.1.2.1.1.8.0	sysORLastChange.0	TimeStamp	242470476
IF-MIB	1.3.6.1.2.1.2.1.0	ifNumber.0	Integer32	16
IF-MIB	1.3.6.1.2.1.2.2.1.1.1	ifIndex.1	InterfaceIndex	1
IF-MIB	1.3.6.1.2.1.2.2.1.1.2	ifIndex.2	InterfaceIndex	2
IF-MIB	1.3.6.1.2.1.2.2.1.1.3	ifIndex.3	InterfaceIndex	3
IF-MIB	1.3.6.1.2.1.2.2.1.1.4	ifIndex.4	InterfaceIndex	4
IF-MIB	1.3.6.1.2.1.2.2.1.1.5	ifIndex.5	InterfaceIndex	5
IF-MIB	1.3.6.1.2.1.2.2.1.1.6	ifIndex.6	InterfaceIndex	6
IF-MIB	1.3.6.1.2.1.2.2.1.1.7	ifIndex.7	InterfaceIndex	7
IF-MIB	1.3.6.1.2.1.2.2.1.1.8	ifIndex.8	InterfaceIndex	8
IF-MIB	1.3.6.1.2.1.2.2.1.1.9	ifIndex.9	InterfaceIndex	9
IF-MIB	1.3.6.1.2.1.2.2.1.1.10	ifIndex.10	InterfaceIndex	10
IF-MIB	1.3.6.1.2.1.2.2.1.1.11	ifIndex.11	InterfaceIndex	11
IF-MIB	1.3.6.1.2.1.2.2.1.1.12	ifIndex.12	InterfaceIndex	12
